time	function	status	result	tx_id
2026-06-07T06:07:35.000Z	seal-inscription	abort_by_post_condition	(err u112)	0xad32d98bca177bc70486c5d00c7ba31fd35a72d3bbff778793be6a3eb114920d
2026-06-07T06:07:35.000Z	add-chunk-batch	abort_by_response	(err u112)	0xa90f3d7f25d2f78858afd97b330c219efa3d84c8e2a04cf946f3f238d94f5fb8
2026-06-07T06:07:35.000Z	add-chunk-batch	abort_by_response	(err u112)	0x98a4b466eec021706acebb2178a1b55639a92f2cccedf06e5623d0cca78a7219
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0x1d448511895f60fcf957832229cef730e1dd6a853eee0d2abaf8b79ba2f25439
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0x5eef5da0a673a5ac221bb0c9ee1e1ad44fc1affdef6a976c8691cd06aec6ffff
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0x46892ec7c1f69a6df69d031c3fa262d56890b9c0ac6998668b6460408c32b940
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0x16f6cf633320d36f00785faf9ff7548435363ea998a7918a9629f3886dd8586f
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0x2d7e897fa230b73ff1af572ae3242a3c20343a051279168b1d6389ef2a178b2e
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0xf85c26475c1f956a0897b5abdbb7554e794a8760fb2766c9e93a9f2556297fa7
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0x59b2b9bf9736a9f2800da0bd113e571b845d0b09b0d82b140f05602c4e9372a1
2026-06-06T16:22:47.000Z	add-chunk-batch	success	(ok true)	0xd612260d0d05a4def515bd5e864a8144a1b1bd31f9b95fc16fe83f75f7161a13
2026-06-06T16:22:47.000Z	begin-inscription	success	(ok true)	0x4613f355e9e7b66fe874134d5c3ef614d70ab51e67691ce826137f3903fb309e
2026-06-06T16:22:47.000Z	seal-inscription	success	(ok u357)	0x15037038654a717b2afba7ba9f390cfa13a2a403639b0d010fe0fe6ed9a0818b
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0xb69ae8dceed19ee3d6769d4f96ce7c3a33f12b22f6aa0f5b7135d7bc69c5f0ea
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0x992cbb6e313717551c66fc5f508ae4c608965bad416301cf2a59ef116b32e37a
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0x9c2da30968e7d5464012cd7d262454fdbbafa12b6a680bdd3ab070325e0a272d
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0x25b34c48b08bb48a9959b435aed5ea0b8cbe6c8a0b00f9f4e154f26fce401754
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0x7f35ff9f7b86ca1ed6b3777d1d0ee149ac7a0eef5c35b12f5e0bbaa81d725fe1
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0x061018e24de9fab6d08697b485af95c65f0b2ee1860451bbddbdcadbee626075
2026-06-06T08:31:26.000Z	add-chunk-batch	success	(ok true)	0x969bd82b34dd4bda475383e2dbe378af47ae037e735267e18a407ca373f88547
